entity,tier,ahp_weight
宇航服,0,0.0
宇宙射线,0,0.0
汽车,0,0.0
物理学家,0,0.0
欧姆,0,0.0
上面,0,0.0
实验,0,0.0
霍尔尔,0,0.0
门捷列夫,0,0.0
船舱,0,0.0
真空,0,0.0
发动机,0,0.0
记录器,0,0.0
黑匣子,0,0.0
薄膜,0,0.0
超声波,0,0.0
氮气,0,0.0
课文,0,0.0
氢气,0,0.0
三氧化钨,0,0.0
氯气,0,0.0
火焰,0,0.0
能力,0,0.0
元件,0,0.0
操作系统,0,0.0
氢氧化,0,0.0
梅曼,0,0.0
绿色植物,0,0.0
洗涤剂,0,0.0
硫氧化物,0,0.0
氢氧化物,0,0.0
汽油,0,0.0
望远镜,0,0.0
画面,0,0.0
整数,0,0.0
霓虹灯,0,0.0
遥控器,0,0.0
电视,0,0.0
超级市场,0,0.0
商场,0,0.0
信息,0,0.0
电脑,0,0.0
核反应堆,0,0.0
芯块,0,0.0
厂房,0,0.0
燃料电池,0,0.0
电池,0,0.0
过程,0,0.0
发电机,0,0.0
研究,0,0.0
减少,0,0.0
燃料,0,0.0
影响,0,0.0
燃烧,0,0.0
地表,0,0.0
行星,0,0.0
月亮,0,0.0
起重机,0,0.0
面积,0,0.0
两边,0,0.0
轨迹,0,0.0
矩形,0,0.0
命题,0,0.0
正方形,0,0.0
不锈钢,0,0.0
极限,0,0.0
趋势,0,0.0
符号,0,0.0
工业生产,0,0.0
水中,0,0.0
长度,0,0.0
小车,0,0.0
牵引力,0,0.0
阻力,0,0.0
火车,0,0.0
降落伞,0,0.0
功率,0,0.0
大小,0,0.0
库仑,0,0.0
粒子,0,0.0
中子,3,0.04
飞机,0,0.0
动能,0,0.0
周期,0,0.0
导线,0,0.0
线,0,0.0
包壳管,0,0.0
拉伸,0,0.0
迷失,0,0.0
商品,0,0.0
纤细,0,0.0
沸点,0,0.0
中间,0,0.0
多边形,0,0.0
丁力,0,0.0
活塞,0,0.0
冬天,0,0.0
冷空气,0,0.0
固体,0,0.0
地磁极,0,0.0
两头,0,0.0
吸引力,0,0.0
小球,0,0.0
摩擦力,3,0.04
导电性,0,0.0
升降,0,0.0
吸水性,0,0.0
氧化物,0,0.0
老师,0,0.0
光波,0,0.0
鳞片,0,0.0
年代,0,0.0
颜色,0,0.0
推力,0,0.0
飞行员,0,0.0
热量,0,0.0
太阳能,0,0.0
验证,0,0.0
辨识,0,0.0
芯片,0,0.0
特性,0,0.0
样子,0,0.0
眼睛,0,0.0
有理数,0,0.0
乙地,0,0.0
距离,0,0.0
不倒翁,0,0.0
能源,0,0.0
绝大部分,0,0.0
上海,0,0.0
笛卡尔,0,0.0
半径,0,0.0
角度,0,0.0
投影,0,0.0
中心,0,0.0
风机,0,0.0
化学性质,0,0.0
盐酸,0,0.0
影响力,0,0.0
网站,0,0.0
抛物线,0,0.0
动量,3,0.02
全体,0,0.0
后者,0,0.0
结论,0,0.0
拇指,0,0.0
听写,0,0.0
里面,0,0.0
结果,0,0.0
电影,0,0.0
花卉,0,0.0
情感,0,0.0
东亚,0,0.0
花色,0,0.0
父爱,0,0.0
自然界,0,0.0
发现,0,0.0
意思,0,0.0
数据,0,0.0
文章,0,0.0
秋天,0,0.0
松鼠,0,0.0
科技,0,0.0
疱疹,0,0.0
信天翁,0,0.0
联系,0,0.0
记忆,0,0.0
作者,0,0.0
对象,0,0.0
数字,0,0.0
世界,0,0.0
自由基,0,0.0
孩子,0,0.0
植物,0,0.0
二氧化硫,0,0.0
生物圈,0,0.0
微生物,0,0.0
多数,0,0.0
日本,0,0.0
政党,0,0.0
组织,0,0.0
办法,0,0.0
基因,0,0.0
分句,0,0.0
叶子,0,0.0
酒店,0,0.0
禽流感,0,0.0
教授,0,0.0
电子,3,0.06
脚部,0,0.0
研究者,0,0.0
电极,0,0.0
大学生,0,0.0
大气层,0,0.0
观察,0,0.0
方法,0,0.0
经费,0,0.0
定义,0,0.0
科学,0,0.0
基础理论,0,0.0
例子,0,0.0
理解,0,0.0
性格,0,0.0
皮尔索夫,0,0.0
细胞,0,0.0
劳动力,0,0.0
社会,0,0.0
认知,0,0.0
词汇,0,0.0
识别,0,0.0
思维,0,0.0
神经元,0,0.0
大脑,0,0.0
工人,0,0.0
委员会,0,0.0
雷米,0,0.0
美国,0,0.0
马达,0,0.0
下方,0,0.0
服装,0,0.0
女士,0,0.0
国家,0,0.0
前者,0,0.0
水平,0,0.0
数量,0,0.0
信鸽,0,0.0
机器,0,0.0
成功,0,0.0
副词,0,0.0
水稻,0,0.0
成果,0,0.0
木材,0,0.0
装备,0,0.0
秸秆,0,0.0
混合物,0,0.0
赛跑,0,0.0
城市,0,0.0
种苗,0,0.0
进化,0,0.0
因素,0,0.0
气温,0,0.0
选项,0,0.0
大会,0,0.0
文字,0,0.0
一点,0,0.0
复数,0,0.0
整体,0,0.0
运算,0,0.0
术语,0,0.0
期间,0,0.0
基地,0,0.0
初叶,0,0.0
笛卡儿,0,0.0
向日葵,0,0.0
趋向,0,0.0
海面,0,0.0
体积,0,0.0
集合,0,0.0
需要,0,0.0
几何体,0,0.0
自行车,0,0.0
报告,0,0.0
梯形,0,0.0
几何,0,0.0
长方形,0,0.0
对角线,0,0.0
大自然,0,0.0
工程学,0,0.0
反比,0,0.0
一方,0,0.0
公众,0,0.0
塑料,0,0.0
弹簧,0,0.0
比例,0,0.0
运载火箭,0,0.0
手推车,0,0.0
跳板,0,0.0
运动员,0,0.0
起电,0,0.0
焦耳,0,0.0
一部分,0,0.0
爱因斯坦,0,0.0
莉泽·迈特纳,0,0.0
路径,0,0.0
电路,0,0.0
电容,0,0.0
企业,0,0.0
导弹,0,0.0
海洋,0,0.0
色彩,0,0.0
地线,0,0.0
集成电路,0,0.0
元器件,0,0.0
情况,0,0.0
进步,0,0.0
电荷,0,0.0
拉第,0,0.0
线圈,0,0.0
装置,0,0.0
中微子,0,0.0
计算,0,0.0
奥斯特,0,0.0
无线电波,0,0.0
空间,0,0.0
赫兹,0,0.0
反射,0,0.0
常数,0,0.0
发电站,0,0.0
密度,0,0.0
合成纤维,0,0.0
效应,0,0.0
两侧,0,0.0
事例,0,0.0
横波,0,0.0
中叶,0,0.0
汤斯,0,0.0
汉语,0,0.0
周期表,0,0.0
限度,0,0.0
相对论,0,0.0
知识,0,0.0
形成,0,0.0
过氧化氢,0,0.0
一氧化碳,0,0.0
居里夫人,0,0.0
波长,0,0.0
活动,0,0.0
核酸,0,0.0
无机盐,0,0.0
冰山,0,0.0
稳定,0,0.0
区别,0,0.0
学者,0,0.0
细菌,0,0.0
基本单位,0,0.0
RNA,0,0.0
DNA,0,0.0
食物,0,0.0
遗传物质,0,0.0
桑格,0,0.0
二进制,0,0.0
组成部件,0,0.0
外存,0,0.0
电信号,0,0.0
影片,0,0.0
具有,0,0.0
通信卫星,0,0.0
加工,0,0.0
化学,0,0.0
网络,0,0.0
控制器,0,0.0
蒂姆,0,0.0
牛津大学,0,0.0
服务器,0,0.0
开普勒,0,0.0
火星,0,0.0
参数,0,0.0
天体,0,0.0
第谷,0,0.0
动力,0,0.0
探测器,0,0.0
大桥,0,0.0
起点,0,0.0
修建,0,0.0
高原,0,0.0
旅馆,0,0.0
角色,0,0.0
下列,0,0.0
行业,0,0.0
噪音,0,0.0
传感器,0,0.0
水立方,0,0.0
立方,0,0.0
鸟巢,0,0.0
建筑,0,0.0
幕墙,0,0.0
大楼,0,0.0
都江堰,0,0.0
水利工程,0,0.0
房屋,0,0.0
地区,0,0.0
布局,0,0.0
四合院,0,0.0
历史,0,0.0
变迁,0,0.0
解释,0,0.0
连接,0,0.0
吊脚楼,0,0.0
标志,0,0.0
传输,0,0.0
覆盖率,0,0.0
产生,0,0.0
规范,0,0.0
波,0,0.0
处理,0,0.0
受访者,0,0.0
应用,0,0.0
机构,0,0.0
商洛市,0,0.0
西安,0,0.0
圆角,0,0.0
公式,0,0.0
圆周,0,0.0
边长,0,0.0
扇形,0,0.0
雪花,0,0.0
外形,0,0.0
几何学,0,0.0
微积分,0,0.0
坡度,0,0.0
阿基米德,0,0.0
心脏,0,0.0
信号,0,0.0
表达,0,0.0
世纪,0,0.0
沙子,0,0.0
数学家,0,0.0
数列,0,0.0
密文,0,0.0
加密,0,0.0
明文,0,0.0
解密,0,0.0
字母,0,0.0
凯莱,0,0.0
专业,0,0.0
班长,0,0.0
指标,0,0.0
输入法,0,0.0
王永民,0,0.0
朱守涛,0,0.0
微软,0,0.0
公司,0,0.0
汉字,0,0.0
占比,0,0.0
支付,0,0.0
人民币,0,0.0
方式,0,0.0
直播,0,0.0
主播,0,0.0
成熟,0,0.0
写作,0,0.0
解锁,0,0.0
机器人,0,0.0
透镜,0,0.0
相机,0,0.0
分钟,0,0.0
团队,0,0.0
银行,0,0.0
场合,0,0.0
官方,0,0.0
5G,0,0.0
发电,0,0.0
使用,0,0.0
潮汐,0,0.0
电容器,0,0.0
天然气,0,0.0
电网,0,0.0
量子力学,0,0.0
概念,0,0.0
物理,0,0.0
水流,0,0.0
思想,0,0.0
操作,0,0.0
古人,0,0.0
时钟,0,0.0
精确度,0,0.0
测量,0,0.0
需求,0,0.0
苏联,0,0.0
半导体,0,0.0
模块,0,0.0
危机,0,0.0
力量,0,0.0
工具,0,0.0
援助,0,0.0
建设,0,0.0
普及,0,0.0
化学元素,0,0.0
金属元素,0,0.0
贵金属,0,0.0
利用,0,0.0
冯·诺依曼,0,0.0
文本,0,0.0
力学,0,0.0
读法,0,0.0
负数,0,0.0
正数,0,0.0
格式,0,0.0
简称,0,0.0
未知数,0,0.0
目标,0,0.0
绝对值,0,0.0
分数,0,0.0
气味,0,0.0
催化剂,3,0.05
电灯,0,0.0
同学,0,0.0
重心,0,0.0
生活,0,0.0
玻璃杯,0,0.0
用处,0,0.0
路程,0,0.0
欧洲人,0,0.0
三中,0,0.0
水滴,0,0.0
玻璃板,0,0.0
计算器,0,0.0
行驶,0,0.0
时代,0,0.0
语气,0,0.0
化学变化,0,0.0
晶体,3,0.03
军事学,0,0.0
光标,0,0.0
联结,0,0.0
文彬,0,0.0
电动机,0,0.0
微波,0,0.0
危险,0,0.0
伤害,0,0.0
电压,0,0.0
干电池,0,0.0
限制,0,0.0
表达式,0,0.0
错误,0,0.0
书包,0,0.0
视线,0,0.0
风速,0,0.0
左边,0,0.0
训练,0,0.0
指向,0,0.0
长短,0,0.0
硫酸铜,0,0.0
氧化铁,0,0.0
短文,0,0.0
要求,0,0.0
杯子,0,0.0
正比,0,0.0
组成,0,0.0
表格,0,0.0
蜡烛,0,0.0
恒定,0,0.0
Word,0,0.0
有机物,0,0.0
家庭,0,0.0
特指,0,0.0
箱子,0,0.0
瓶子,0,0.0
自然数,0,0.0
留学生,0,0.0
理解题,0,0.0
千米,0,0.0
容积,0,0.0
乘客,0,0.0
原子核,3,0.06
砂糖,0,0.0
最小,0,0.0
亮度,0,0.0
恒星,0,0.0
组句,0,0.0
星系,0,0.0
车子,0,0.0
阳光,0,0.0
生产方式,0,0.0
保障,0,0.0
生命,0,0.0
食品,0,0.0
糖类,0,0.0
提到,0,0.0
开关,0,0.0
支路,0,0.0
定理,0,0.0
说法,0,0.0
摩擦,0,0.0
电学,0,0.0
动力学,0,0.0
控制,0,0.0
高温,0,0.0
结合,0,0.0
居民,0,0.0
意译,0,0.0
自动化,0,0.0
部件,0,0.0
流水线,0,0.0
传送带,0,0.0
产品,0,0.0
工业,0,0.0
机床,0,0.0
工业革命,0,0.0
学校,0,0.0
路由器,0,0.0
闪盘,0,0.0
教育,0,0.0
商店,0,0.0
生死,0,0.0
人体,0,0.0
感受器,0,0.0
神经细胞,0,0.0
分化,0,0.0
文明,0,0.0
变异,0,0.0
重组,0,0.0
医生,0,0.0
序列,0,0.0
事件,0,0.0
遗传学,0,0.0
血压,0,0.0
品药,0,0.0
研发,0,0.0
医疗,0,0.0
疾病,0,0.0
生产工具,0,0.0
进程,0,0.0
制造,0,0.0
模式,0,0.0
发行量,0,0.0
营销,0,0.0
方面,0,0.0
响应,0,0.0
革命,0,0.0
搭配,0,0.0
满足,0,0.0
肯尼斯·布劳尔,0,0.0
宾语,0,0.0
南方,0,0.0
纸带,0,0.0
原句,0,0.0
数值,0,0.0
星球,0,0.0
幼芽,0,0.0
蚂蚁,0,0.0
鱼类,0,0.0
流星雨,0,0.0
亚洲,0,0.0
鼻孔,0,0.0
讨论,0,0.0
感觉,0,0.0
造句,0,0.0
聪明,0,0.0
鸟类,0,0.0
成绩,0,0.0
街头,0,0.0
模型,0,0.0
胶带,0,0.0
分析法,0,0.0
气层,0,0.0
乙烯,0,0.0
育种,0,0.0
输送,0,0.0
格子,0,0.0
欧拉,0,0.0
猩猩,0,0.0
猜想,0,0.0
小组,0,0.0
科学界,0,0.0
单元,0,0.0
生物体,0,0.0
薄荷,0,0.0
原因,0,0.0
瓶中,0,0.0
化学家,0,0.0
枫树,0,0.0
大叶枫,0,0.0
观测站,0,0.0
研究员,0,0.0
猎手,0,0.0
新药,0,0.0
调查,0,0.0
德国,0,0.0
网蛛,0,0.0
蜘蛛,0,0.0
蟋蟀,0,0.0
后代,0,0.0
风险,0,0.0
存在,0,0.0
探测仪,0,0.0
铁矿,0,0.0
生物学家,0,0.0
小鸡,0,0.0
动词,0,0.0
天狼星,0,0.0
毛虫,0,0.0
缩小,0,0.0
果蝇,0,0.0
通道,0,0.0
追踪,0,0.0
变换,0,0.0
统计,0,0.0
一个,0,0.0
观察者,0,0.0
旅行,0,0.0
彼尔,0,0.0
宇宙空间,0,0.0
树枝,0,0.0
无机物,0,0.0
生成,0,0.0
增大,0,0.0
海葵,0,0.0
托马斯·罗基,0,0.0
算法,0,0.0
心说,0,0.0
乒乓球,0,0.0
干预,0,0.0
一氧化二氮,0,0.0
提示,0,0.0
隔墙,0,0.0
人脑,0,0.0
分子结构,0,0.0
工艺,0,0.0
原理,0,0.0
触碰,0,0.0
接触,0,0.0
耳朵,0,0.0
老鼠,0,0.0
海马区,0,0.0
工作,0,0.0
概率,0,0.0
地质学家,0,0.0
登山家,0,0.0
道尔顿,0,0.0
光子,0,0.0
示意图,0,0.0
化石,0,0.0
遗址,0,0.0
进化论,0,0.0
光合作用,0,0.0
连线,0,0.0
光能,0,0.0
历史学家,0,0.0
器具,0,0.0
同屋,0,0.0
奥运会,0,0.0
塑料袋,0,0.0
普通,0,0.0
次数,0,0.0
桌面,0,0.0
线路,0,0.0
断电器,0,0.0
按钮,0,0.0
警察,0,0.0
病毒,0,0.0
体内,0,0.0
蛋白,0,0.0
针叶,0,0.0
速率,0,0.0
碰撞,0,0.0
打呵欠,0,0.0
硝酸,0,0.0
胃里,0,0.0
微量元素,0,0.0
树脂,0,0.0
约翰·赫曲克,0,0.0
纳米,0,0.0
三角形,0,0.0
贡献,0,0.0
拉力,0,0.0
远方,0,0.0
搜索引擎,0,0.0
参照物,0,0.0
链接,0,0.0
建立,0,0.0
程序,0,0.0
电磁场,0,0.0
黑客,0,0.0
膳食,0,0.0
碳水化合物,0,0.0
饮食,0,0.0
萝卜,0,0.0
蛋白质,0,0.0
浓茶,0,0.0
乙醛,0,0.0
生物化学反应,0,0.0
滑雪板,0,0.0
检查,0,0.0
限量,0,0.0
石灰,0,0.0
成分,0,0.0
黏土,0,0.0
炭黑,0,0.0
电场,0,0.0
化学性能,0,0.0
克雷默,0,0.0
形体,0,0.0
标杆,0,0.0
大地,0,0.0
纪录,0,0.0
马雷,0,0.0
洛强斯基,0,0.0
麦克唐纳,0,0.0
凯恩,0,0.0
半身,0,0.0
振动,0,0.0
机械手,0,0.0
字节,0,0.0
地址,0,0.0
根据,0,0.0
影子,0,0.0
消耗,0,0.0
试验,0,0.0
三千四百零二万五千,0,0.0
倍数,0,0.0
心电图,0,0.0
乘方,0,0.0
用法,0,0.0
改变,0,0.0
语句,0,0.0
真假性,0,0.0
成像,0,0.0
色光,0,0.0
放大镜,0,0.0
介质,0,0.0
污染,0,0.0
延长线,0,0.0
可见光,0,0.0
潜望镜,0,0.0
时刻,0,0.0
矢量,0,0.0
乌龟,0,0.0
广州,0,0.0
流动,0,0.0
分解,0,0.0
机械,0,0.0
斜面,0,0.0
弹力,3,0.04
绳子,0,0.0
选择题,0,0.0
顶部,0,0.0
重物,0,0.0
受力,0,0.0
气球,0,0.0
后缀,0,0.0
两端,0,0.0
电源,0,0.0
倒数,0,0.0
并联,0,0.0
改写,0,0.0
直径,0,0.0
靶子,0,0.0
表中,0,0.0
氢原子,0,0.0
外层,0,0.0
离子,2,0.1
铁轨,0,0.0
集团,0,0.0
方程式,0,0.0
铜器,0,0.0
用途,0,0.0
拉瓦锡,0,0.0
认识,0,0.0
食盐,0,0.0
高锰酸钾,0,0.0
水里,0,0.0
组合,0,0.0
报道,0,0.0
硝酸钾,0,0.0
溶液,0,0.0
结晶,0,0.0
毒害,0,0.0
前面,0,0.0
性能,0,0.0
学生,0,0.0
技术人员,0,0.0
杂质,0,0.0
饮料,0,0.0
微型机,0,0.0
光盘,0,0.0
硬件,0,0.0
打印机,0,0.0
表示,0,0.0
右边,0,0.0
上下,0,0.0
左右,0,0.0
区内,0,0.0
窗口,0,0.0
界面,0,0.0
命令,0,0.0
细胞膜,0,0.0
细胞质,0,0.0
叶绿素,0,0.0
细胞核,0,0.0
功能,0,0.0
凋亡,0,0.0
增多,0,0.0
传递,0,0.0
表现,0,0.0
汁液,0,0.0
多莉,0,0.0
湖泊,0,0.0
生态系统,0,0.0
长江,0,0.0
种子,0,0.0
迁徙,0,0.0
DDT,0,0.0
稳定性,0,0.0
事实,0,0.0
答题,0,0.0
平衡,0,0.0
酸雨,0,0.0
伽利略,0,0.0
菱形,0,0.0
施力 牛顿,0,0.0
截面,0,0.0
多少,0,0.0
问答,0,0.0
汉语拼音,0,0.0
答案,0,0.0
调节,0,0.0
存储器,0,0.0
工作区,0,0.0
尾巴,0,0.0
沙地,0,0.0
有毒物,0,0.0
两者,0,0.0
小说,0,0.0
构成,0,0.0
集体,0,0.0
尾气,0,0.0
作用于,0,0.0
地图,0,0.0
最大,0,0.0
农业,0,0.0
保证,0,0.0
发生,0,0.0
车辆,0,0.0
烟雾,0,0.0
书面语,0,0.0
仙境,0,0.0
数字化,0,0.0
病人,0,0.0
信息化,0,0.0
阅读器,0,0.0
基本,0,0.0
分裂,0,0.0
文中,0,0.0
塔顶,0,0.0
监控,0,0.0
法则,0,0.0
地方,0,0.0
来源,0,0.0
主板,0,0.0
字符,0,0.0
档次,0,0.0
戈登·贝尔奖,0,0.0
开发,0,0.0
提出,0,0.0
积累,0,0.0
助手,0,0.0
语音,0,0.0
智商,0,0.0
人工智能,0,0.0
使用者,0,0.0
拷贝,0,0.0
浏览器,0,0.0
应用题,0,0.0
效果,0,0.0
年轻人,0,0.0
网民,0,0.0
向心力,0,0.0
离心力,0,0.0
范本,0,0.0
视图,0,0.0
轴线,0,0.0
立体,0,0.0
频数,0,0.0
球队,0,0.0
本文,0,0.0
执行者,0,0.0
计划,0,0.0
分析,0,0.0
加速器,0,0.0
学说,0,0.0
凯库勒,0,0.0
冯克,0,0.0
矿物质,0,0.0
脚气病,0,0.0
感受性,0,0.0
特点,0,0.0
调查报告,0,0.0
导语,0,0.0
议论,0,0.0
费马,0,0.0
学科,0,0.0
创立,0,0.0
上方,0,0.0
向量,0,0.0
创造性,0,0.0
规定,0,0.0
报警器,0,0.0
频率,0,0.0
涡流,0,0.0
灶具,0,0.0
铁芯,0,0.0
形象,0,0.0
探讨,0,0.0
曲面,0,0.0
建筑物,0,0.0
建筑师,0,0.0
正面,0,0.0
约翰逊,0,0.0
前奏曲,0,0.0
微粒,0,0.0
管理科学,0,0.0
二维,0,0.0
代数,0,0.0
皮亚诺,0,0.0
说明书,0,0.0
正文,0,0.0
设计书,0,0.0
冰虫,0,0.0
昆虫,0,0.0
器官,0,0.0
水晶体,0,0.0
冰晶体,0,0.0
降低,0,0.0
氧化,0,0.0
体重,0,0.0
部位,0,0.0
博士,0,0.0
花朵,0,0.0
照射,0,0.0
恩瑞特,0,0.0
午睡,0,0.0
月光,0,0.0
睡眠,0,0.0
黄土,0,0.0
生态平衡,0,0.0
沉积物,0,0.0
波浪,0,0.0
气候,0,0.0
青藏高原,0,0.0
法国,0,0.0
天气预报,0,0.0
诞生,0,0.0
挑战,0,0.0
杂志,0,0.0
发展中国家,0,0.0
强弱,0,0.0
云量,0,0.0
积雪,0,0.0
消失,0,0.0
达尔文,0,0.0
含有,0,0.0
悲伤,0,0.0
恐惧感,0,0.0
姿势,0,0.0
区域,0,0.0
天性,0,0.0
内蒙古,0,0.0
红外,0,0.0
手法,0,0.0
体系,0,0.0
黑猩猩,0,0.0
比较,0,0.0
普通人,0,0.0
天才,0,0.0
常人,0,0.0
疗法,0,0.0
恶作剧,0,0.0
古代,0,0.0
河流,0,0.0
爬行动物,0,0.0
恐龙,0,0.0
真骨鱼,0,0.0
绝灭,0,0.0
交谈,0,0.0
核电站,0,0.0
灰霾,0,0.0
垃圾,0,0.0
现代人,0,0.0
辐射,0,0.0
挥发,0,0.0
生 活  人,0,0.0
口头禅,0,0.0
河马,0,0.0
机制,0,0.0
打哈欠,0,0.0
狮子,0,0.0
舞蹈,0,0.0
季节,0,0.0
伏尔泰,0,0.0
血液,0,0.0
消息,0,0.0
移植,0,0.0
意图,0,0.0
红灯,0,0.0
火花,0,0.0
鲁珀特·谢尔德雷克,0,0.0
受试者,0,0.0
炼铁,0,0.0
Cu,0,0.0
分子式,0,0.0
总和,0,0.0
一半,0,0.0
过氧化钠,0,0.0
氢氧化钠,0,0.0
漂白粉,0,0.0
检验,0,0.0
本题,0,0.0
中部,0,0.0
三氧化硫,0,0.0
水溶液,0,0.0
皮肤,0,0.0
木炭,0,0.0
本章,0,0.0
氨水,0,0.0
一氧化氮,0,0.0
王水,0,0.0
浓度,0,0.0
pH,0,0.0
本质,0,0.0
氧化剂,0,0.0
氯化铁,0,0.0
防护,0,0.0
电镀,0,0.0
氢氧化铝,0,0.0
一端,0,0.0
烷烃,0,0.0
甲烷,0,0.0
制法,0,0.0
乙炔,0,0.0
甲苯,0,0.0
类型,0,0.0
溴乙烷,0,0.0
动作,0,0.0
秘密,0,0.0
蝙蝠,0,0.0
尸体,0,0.0
生产者,0,0.0
物种,0,0.0
我国,0,0.0
新生,0,0.0
食草动物,0,0.0
捕杀,0,0.0
祖先,0,0.0
太阳神,0,0.0
人民,0,0.0
星座,0,0.0
天文学家,0,0.0
凶神恶煞,0,0.0
火山,0,0.0
成因,0,0.0
岛屿,0,0.0
附近,0,0.0
遗迹,0,0.0
大洋,0,0.0
透明度,0,0.0
海藻,0,0.0
成本,0,0.0
自然灾害,0,0.0
温室效应,0,0.0
监测,0,0.0
柠檬,0,0.0
治沙,0,0.0
光亮,0,0.0
白亮,0,0.0
克隆人,0,0.0
