:START_ID,:END_ID,:TYPE
E273,E287,属于
E242,E280,反应条件
E33,E418,溶解性为
E324,E353,包括
E373,E65,生成物
E262,E259,反应物
E104,E76,定义
E282,E405,生成物
E416,E191,定义
E386,E124,属于
E264,E184,表明
E326,E240,含有
E242,E318,实验室制法
E79,E361,属于
E340,E50,性质为
E311,E220,定义
E9,E8,反应物
E362,E338,化学式为
E208,E374,定义
E403,E174,表明
E83,E356,属于
E407,E119,属于
E282,E251,反应物
E335,E205,具有可燃性
E337,E74,用途为
E242,E265,生成物
E125,E323,定义
E335,E253,反应物
E242,E202,毒性为
E245,E119,属于
E132,E132,属于
E33,E328,毒性影响
E235,E158,定义为
E332,E228,铁的氧化数为
E194,E131,升华条件为
E267,E363,质量为
E315,E105,定义
E54,E46,电性为
E306,E309,表明
E253,E22,分子式为
E135,E223,定义
E108,E107,表明
E340,E65,分解生成
E404,E260,生成物
E8,E226,氧化数为
E33,E112,毒性为
E43,E41,性质为
E264,E260,生成物
E234,E44,定义为
E244,E394,表明
E58,E200,最外层电子数等于
E247,E381,氢氧根的氧化数为
E377,E248,需要
E242,E111,用途
E172,E344,氧化数代数和等于
E132,E304,构成
E242,E409,实验室制法
E387,E0,符号为
E213,E95,属于
E24,E39,最多容纳电子数为
E141,E136,半径约为
E129,E300,定义为
E160,E238,含有
E171,E125,包含
E389,E62,核电荷数为
E282,E33,反应物
E242,E102,用途
E161,E100,定义
E153,E241,例如
E2,E30,约等于
E335,E33,生成物
E271,E381,H的氧化数为
E342,E316,状态为
E113,E178,定义
E386,E146,定义
E211,E65,生成物
E141,E54,构成
E135,E175,影响
E234,E8,符号为
E391,E392,俗称
E422,E93,最高正氧化数加负氧化数绝对值等于
E19,E303,表明
E83,E218,表明
E125,E144,表明
E335,E65,反应物
E65,E351,密度为
E33,E205,具有还原性
E94,E53,定义
E171,E288,包含
E89,E6,例如
E311,E11,表示符号
E253,E40,相对分子质量为
E268,E287,属于
E387,E182,定义
E117,E327,定义
E261,E260,反应物
E135,E313,与电子层数关系
E65,E277,反应物
E162,E380,等于
E242,E201,气味为
E311,E78,能量规律
E54,E30,相对质量近似为
E171,E84,包含
E132,E169,定义
E115,E334,含有
E253,E365,属于
E424,E402,含有
E33,E205,具有可燃性
E284,E123,属于
E414,E99,小于
E389,E62,电子数为
E125,E177,表明
E83,E137,表明
E129,E419,氧化数为
E65,E370,溶解性为
E242,E408,生成物
E242,E198,收集方法
E389,E36,中子数为
E274,E75,各物质性质为
E65,E173,实验室制法反应物
E135,E222,与核电荷数关系
E411,E317,生成物
E283,E279,俗称
E404,E183,表明
E341,E230,碳的氧化数为
E33,E65,燃烧生成物
E141,E190,电性为
E249,E179,与化学式关系为
E221,E142,定义
E79,E101,定义为
E265,E10,化学式为
E5,E381,氧化数为
E26,E229,S的氧化数为
E33,E201,气味为
E210,E408,生成物
E124,E147,表明
E335,E205,具有还原性
E154,E72,金属性递变规律
E322,E1,符号为
E242,E114,反应条件
E242,E281,检验方法
E120,E358,属于
E171,E79,包含
E235,E397,俗称
E104,E47,运动状态为
E104,E357,属于
E83,E88,定义
E139,E216,等于
E33,E408,生成物
E33,E52,毒性机理
E387,E384,等于
E352,E359,包括
E390,E381,O的氧化数为
E211,E210,反应物
E398,E91,定义为
E65,E342,生成物
E267,E212,在物理变化中
E345,E415,定义
E403,E260,反应物
E33,E65,生成物
E154,E73,非金属性递变规律
E239,E228,O的氧化数为
E322,E150,计算依据为
E65,E32,溶解度为
E335,E368,高温下性质为
E421,E95,属于
E412,E360,包括
E256,E365,属于
E65,E66,属于
E422,E90,定义为
E171,E104,包含
E65,E201,气味为
E247,E226,钠的氧化数为
E33,E148,燃烧现象
E141,E133,位置为
E65,E365,属于
E249,E215,定义
E398,E188,汉语名称特征为
E65,E364,空气中含量为
E118,E204,表明
E139,E219,等于
E383,E30,相对质量近似为
E236,E29,符号为
E83,E82,实质
E181,E330,含有
E86,E356,属于
E282,E423,反应条件
E345,E125,属于
E372,E167,定义
E315,E355,属于
E171,E121,包含
E55,E17,符号为
E3,E128,约等于
E311,E31,表示符号
E171,E124,包含
E413,E138,形成方式
E83,E401,表明
E124,E149,表明
E225,E126,最大能容纳电子数为
E373,E265,生成物
E33,E231,密度为
E305,E308,定义
E27,E230,S的氧化数为
E139,E42,定义
E21,E382,氧化数为
E119,E106,分子变化为
E425,E227,锰的氧化数为
E242,E232,状态为
E14,E93,最多容纳电子数为
E274,E299,定义
E345,E270,表明
E331,E229,S的氧化数为
E335,E65,生成物
E331,E230,S的氧化数为
E162,E312,等于
E33,E103,用途
E236,E159,定义为
E45,E354,包括
E322,E87,定义为
E421,E97,定义
E9,E5,反应物
E132,E141,构成
